Year,AREA,Value
2001,West Bank,-5.6
2002,West Bank,-12.2
2003,West Bank,-5.2
2004,West Bank,17.0
2005,West Bank,0.8
2006,West Bank,-1.3
2007,West Bank,7.0
2008,West Bank,17.3
2009,West Bank,0.0
2010,West Bank,-0.6
2011,West Bank,0.6
2012,West Bank,2.8
2013,West Bank,3.4
2014,West Bank,-3.3
2015,West Bank,3.2
2016,West Bank,9.5
2017,West Bank,3.1
2018,West Bank,1.1
2019,West Bank,-1.3
2001,Gaza Strip,14.7
2002,Gaza Strip,-8.4
2003,Gaza Strip,-5.0
2004,Gaza Strip,19.8
2005,Gaza Strip,5.2
2006,Gaza Strip,-15.0
2007,Gaza Strip,-25.2
2008,Gaza Strip,2.4
2009,Gaza Strip,0.9
2010,Gaza Strip,6.8
2011,Gaza Strip,-12.4
2012,Gaza Strip,3.1
2013,Gaza Strip,4.0
2014,Gaza Strip,-7.0
2015,Gaza Strip,-8.2
2016,Gaza Strip,5.0
2017,Gaza Strip,-5.3
2018,Gaza Strip,6.0
2019,Gaza Strip,-2.4
2001,Palestine,0.3
2002,Palestine,-11.0
2003,Palestine,-5.0
2004,Palestine,18.5
2005,Palestine,2.6
2006,Palestine,-6.5
2007,Palestine,-3.9
2008,Palestine,14.1
2009,Palestine,0.4
2010,Palestine,1.2
2011,Palestine,-3.8
2012,Palestine,2.6
2013,Palestine,3.2
2014,Palestine,-2.6
2015,Palestine,-0.4
2016,Palestine,7.9
2017,Palestine,1.9
2018,Palestine,3.5
2019,Palestine,-1.5
