Year,URBANISATION,SEX,AREA,Series,Value
2019,,Male,West Bank,"Percentage of children aged 12-23 months who received the third dose of DTP containing vaccine (DTP3) in a given year by URBANISATION, SEX, AREA and TIME PERIOD",
2019,,Male,Gaza Strip,"Percentage of children aged 12-23 months who received the third dose of DTP containing vaccine (DTP3) in a given year by URBANISATION, SEX, AREA and TIME PERIOD",
2019,,Male,Palestine,"Percentage of children aged 12-23 months who received the third dose of DTP containing vaccine (DTP3) in a given year by URBANISATION, SEX, AREA and TIME PERIOD",94.7
2019,,Female,West Bank,"Percentage of children aged 12-23 months who received the third dose of DTP containing vaccine (DTP3) in a given year by URBANISATION, SEX, AREA and TIME PERIOD",
2019,,Female,Gaza Strip,"Percentage of children aged 12-23 months who received the third dose of DTP containing vaccine (DTP3) in a given year by URBANISATION, SEX, AREA and TIME PERIOD",
2019,,Female,Palestine,"Percentage of children aged 12-23 months who received the third dose of DTP containing vaccine (DTP3) in a given year by URBANISATION, SEX, AREA and TIME PERIOD",94.5
2019,,,West Bank,"Percentage of children aged 12-23 months who received the third dose of DTP containing vaccine (DTP3) in a given year by URBANISATION, SEX, AREA and TIME PERIOD",92.7
2019,,,Gaza Strip,"Percentage of children aged 12-23 months who received the third dose of DTP containing vaccine (DTP3) in a given year by URBANISATION, SEX, AREA and TIME PERIOD",97.3
2019,,,Palestine,"Percentage of children aged 12-23 months who received the third dose of DTP containing vaccine (DTP3) in a given year by URBANISATION, SEX, AREA and TIME PERIOD",94.6
2019,Urban,Male,West Bank,"Percentage of children aged 12-23 months who received the third dose of DTP containing vaccine (DTP3) in a given year by URBANISATION, SEX, AREA and TIME PERIOD",
2019,Urban,Male,Gaza Strip,"Percentage of children aged 12-23 months who received the third dose of DTP containing vaccine (DTP3) in a given year by URBANISATION, SEX, AREA and TIME PERIOD",
2019,Urban,Male,Palestine,"Percentage of children aged 12-23 months who received the third dose of DTP containing vaccine (DTP3) in a given year by URBANISATION, SEX, AREA and TIME PERIOD",
2019,Urban,Female,West Bank,"Percentage of children aged 12-23 months who received the third dose of DTP containing vaccine (DTP3) in a given year by URBANISATION, SEX, AREA and TIME PERIOD",
2019,Urban,Female,Gaza Strip,"Percentage of children aged 12-23 months who received the third dose of DTP containing vaccine (DTP3) in a given year by URBANISATION, SEX, AREA and TIME PERIOD",
2019,Urban,Female,Palestine,"Percentage of children aged 12-23 months who received the third dose of DTP containing vaccine (DTP3) in a given year by URBANISATION, SEX, AREA and TIME PERIOD",
2019,Urban,,West Bank,"Percentage of children aged 12-23 months who received the third dose of DTP containing vaccine (DTP3) in a given year by URBANISATION, SEX, AREA and TIME PERIOD",
2019,Urban,,Gaza Strip,"Percentage of children aged 12-23 months who received the third dose of DTP containing vaccine (DTP3) in a given year by URBANISATION, SEX, AREA and TIME PERIOD",
2019,Urban,,Palestine,"Percentage of children aged 12-23 months who received the third dose of DTP containing vaccine (DTP3) in a given year by URBANISATION, SEX, AREA and TIME PERIOD",95.4
2019,Rural,Male,West Bank,"Percentage of children aged 12-23 months who received the third dose of DTP containing vaccine (DTP3) in a given year by URBANISATION, SEX, AREA and TIME PERIOD",
2019,Rural,Male,Gaza Strip,"Percentage of children aged 12-23 months who received the third dose of DTP containing vaccine (DTP3) in a given year by URBANISATION, SEX, AREA and TIME PERIOD",
2019,Rural,Male,Palestine,"Percentage of children aged 12-23 months who received the third dose of DTP containing vaccine (DTP3) in a given year by URBANISATION, SEX, AREA and TIME PERIOD",
2019,Rural,Female,West Bank,"Percentage of children aged 12-23 months who received the third dose of DTP containing vaccine (DTP3) in a given year by URBANISATION, SEX, AREA and TIME PERIOD",
2019,Rural,Female,Gaza Strip,"Percentage of children aged 12-23 months who received the third dose of DTP containing vaccine (DTP3) in a given year by URBANISATION, SEX, AREA and TIME PERIOD",
2019,Rural,Female,Palestine,"Percentage of children aged 12-23 months who received the third dose of DTP containing vaccine (DTP3) in a given year by URBANISATION, SEX, AREA and TIME PERIOD",
2019,Rural,,West Bank,"Percentage of children aged 12-23 months who received the third dose of DTP containing vaccine (DTP3) in a given year by URBANISATION, SEX, AREA and TIME PERIOD",
2019,Rural,,Gaza Strip,"Percentage of children aged 12-23 months who received the third dose of DTP containing vaccine (DTP3) in a given year by URBANISATION, SEX, AREA and TIME PERIOD",
2019,Rural,,Palestine,"Percentage of children aged 12-23 months who received the third dose of DTP containing vaccine (DTP3) in a given year by URBANISATION, SEX, AREA and TIME PERIOD",91.2
