Year,URBANISATION,AREA,Series,Value
2010,,West Bank,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",90.1
2014,,West Bank,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",96.8
2017,,West Bank,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",94.7
2019,,West Bank,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",66.2
2010,,Gaza Strip,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",13.7
2014,,Gaza Strip,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",10.4
2017,,Gaza Strip,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",11.3
2019,,Gaza Strip,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",4.3
2010,,Palestine,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",61.9
2014,,Palestine,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",61.5
2017,,Palestine,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",59.1
2019,,Palestine,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",39.5
2010,,Jenin,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",70.4
2014,,Jenin,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",87.3
2017,,Jenin,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",90.7
2019,,Jenin,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2010,,Tubas & Northern Valleys,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",59.1
2014,,Tubas & Northern Valleys,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",100.0
2017,,Tubas & Northern Valleys,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",97.6
2019,,Tubas & Northern Valleys,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2010,,Tulkarm,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",99.7
2014,,Tulkarm,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",99.5
2017,,Tulkarm,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",99.9
2019,,Tulkarm,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2010,,Nablus,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",94.1
2014,,Nablus,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",97.3
2017,,Nablus,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",97.9
2019,,Nablus,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2010,,Qalqiliya,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",99.5
2014,,Qalqiliya,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",100.0
2017,,Qalqiliya,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",99.8
2019,,Qalqiliya,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2010,,Salfit,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",100.0
2014,,Salfit,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",100.0
2017,,Salfit,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",99.9
2019,,Salfit,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2010,,Ramallah & Al-Bireh,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",96.9
2014,,Ramallah & Al-Bireh,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",98.7
2017,,Ramallah & Al-Bireh,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",99.1
2019,,Ramallah & Al-Bireh,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2010,,Jericho & AL Aghwar,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",90.0
2014,,Jericho & AL Aghwar,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",97.4
2017,,Jericho & AL Aghwar,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",94.3
2019,,Jericho & AL Aghwar,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
2010,,Jerusalem,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",99.0
2014,,Jerusalem,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",99.8
2017,,Jerusalem,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",99.3
2019,,Jerusalem,"Proportion of population using safely managed drinking water services, by urban/rural (%) by URBANISATION, AREA and TIME PERIOD",
