Year,Series,Value
2004,"Number of commercial bank branches per 100,000 adults by TIME PERIOD",8.8
2005,"Number of commercial bank branches per 100,000 adults by TIME PERIOD",8.7
2006,"Number of commercial bank branches per 100,000 adults by TIME PERIOD",9.1
2007,"Number of commercial bank branches per 100,000 adults by TIME PERIOD",9.3
2008,"Number of commercial bank branches per 100,000 adults by TIME PERIOD",10.4
2009,"Number of commercial bank branches per 100,000 adults by TIME PERIOD",10.9
2010,"Number of commercial bank branches per 100,000 adults by TIME PERIOD",10.5
2011,"Number of commercial bank branches per 100,000 adults by TIME PERIOD",10.7
2012,"Number of commercial bank branches per 100,000 adults by TIME PERIOD",10.5
2013,"Number of commercial bank branches per 100,000 adults by TIME PERIOD",10.3
2014,"Number of commercial bank branches per 100,000 adults by TIME PERIOD",10.8
2015,"Number of commercial bank branches per 100,000 adults by TIME PERIOD",3.9
2016,"Number of commercial bank branches per 100,000 adults by TIME PERIOD",4.0
2017,"Number of commercial bank branches per 100,000 adults by TIME PERIOD",4.7
2018,"Number of commercial bank branches per 100,000 adults by TIME PERIOD",13.0
2019,"Number of commercial bank branches per 100,000 adults by TIME PERIOD",12.9
2020,"Number of commercial bank branches per 100,000 adults by TIME PERIOD",13.0
2006,"Number of automated teller machines (ATMs) per 100,000 adults by TIME PERIOD",8.0
2007,"Number of automated teller machines (ATMs) per 100,000 adults by TIME PERIOD",10.5
2008,"Number of automated teller machines (ATMs) per 100,000 adults by TIME PERIOD",11.8
2009,"Number of automated teller machines (ATMs) per 100,000 adults by TIME PERIOD",14.5
2010,"Number of automated teller machines (ATMs) per 100,000 adults by TIME PERIOD",15.3
2011,"Number of automated teller machines (ATMs) per 100,000 adults by TIME PERIOD",16.6
2012,"Number of automated teller machines (ATMs) per 100,000 adults by TIME PERIOD",18.4
2013,"Number of automated teller machines (ATMs) per 100,000 adults by TIME PERIOD",19.8
2014,"Number of automated teller machines (ATMs) per 100,000 adults by TIME PERIOD",21.5
2015,"Number of automated teller machines (ATMs) per 100,000 adults by TIME PERIOD",22.4
2018,"Number of automated teller machines (ATMs) per 100,000 adults by TIME PERIOD",24.79
2019,"Number of automated teller machines (ATMs) per 100,000 adults by TIME PERIOD",25.0
2020,"Number of automated teller machines (ATMs) per 100,000 adults by TIME PERIOD",25.0
