Year,AREA,Value
2000,West Bank,8.4
2001,West Bank,8.6
2002,West Bank,11.0
2003,West Bank,10.2
2004,West Bank,6.1
2005,West Bank,7.2
2006,West Bank,7.6
2007,West Bank,5.5
2008,West Bank,5.5
2009,West Bank,7.5
2010,West Bank,5.6
2011,West Bank,0.0
2012,West Bank,5.5
2013,West Bank,8.2
2014,West Bank,6.4
2015,West Bank,7.7
2016,West Bank,10.5
2017,West Bank,6.9
2018,West Bank,7.3
2019,West Bank,6.3
2000,Gaza Strip,6.4
2001,Gaza Strip,3.4
2002,Gaza Strip,4.9
2003,Gaza Strip,5.5
2004,Gaza Strip,9.2
2005,Gaza Strip,8.6
2006,Gaza Strip,5.2
2007,Gaza Strip,6.6
2008,Gaza Strip,7.0
2009,Gaza Strip,7.2
2010,Gaza Strip,2.6
2011,Gaza Strip,0.0
2012,Gaza Strip,4.5
2013,Gaza Strip,4.1
2014,Gaza Strip,16.0
2015,Gaza Strip,9.5
2016,Gaza Strip,5.9
2017,Gaza Strip,4.3
2018,Gaza Strip,6.1
2019,Gaza Strip,4.6
2000,Palestine,7.9
2001,Palestine,7.0
2002,Palestine,9.6
2003,Palestine,9.0
2004,Palestine,6.8
2005,Palestine,7.4
2006,Palestine,7.1
2007,Palestine,5.6
2008,Palestine,5.6
2009,Palestine,7.5
2010,Palestine,5.2
2011,Palestine,0.0
2012,Palestine,5.4
2013,Palestine,7.6
2014,Palestine,8.0
2015,Palestine,8.1
2016,Palestine,9.8
2017,Palestine,6.5
2018,Palestine,7.2
2019,Palestine,6.2
