Year,Value,Series
2001,18.3,Renewable energy share in the total final energy consumption (%) by TIME PERIOD
2002,24.0,Renewable energy share in the total final energy consumption (%) by TIME PERIOD
2003,24.9,Renewable energy share in the total final energy consumption (%) by TIME PERIOD
2004,25.6,Renewable energy share in the total final energy consumption (%) by TIME PERIOD
2005,25.4,Renewable energy share in the total final energy consumption (%) by TIME PERIOD
2006,20.7,Renewable energy share in the total final energy consumption (%) by TIME PERIOD
2007,22.9,Renewable energy share in the total final energy consumption (%) by TIME PERIOD
2008,22.0,Renewable energy share in the total final energy consumption (%) by TIME PERIOD
2009,19.0,Renewable energy share in the total final energy consumption (%) by TIME PERIOD
2010,19.4,Renewable energy share in the total final energy consumption (%) by TIME PERIOD
2011,20.1,Renewable energy share in the total final energy consumption (%) by TIME PERIOD
2012,16.2,Renewable energy share in the total final energy consumption (%) by TIME PERIOD
2013,15.4,Renewable energy share in the total final energy consumption (%) by TIME PERIOD
2014,13.8,Renewable energy share in the total final energy consumption (%) by TIME PERIOD
2015,13.8,Renewable energy share in the total final energy consumption (%) by TIME PERIOD
2016,13.6,Renewable energy share in the total final energy consumption (%) by TIME PERIOD
2017,10.3,Renewable energy share in the total final energy consumption (%) by TIME PERIOD
2018,10.7,Renewable energy share in the total final energy consumption (%) by TIME PERIOD
2019,11.7,Renewable energy share in the total final energy consumption (%) by TIME PERIOD
