Year,URBANISATION,SEX,AREA,Value
2010,Total,Male,West Bank,
2013,Total,Male,West Bank,
2018,Total,Male,West Bank,
2010,Total,Male,Gaza Strip,
2013,Total,Male,Gaza Strip,
2018,Total,Male,Gaza Strip,
2010,Total,Male,Palestine,1.6
2013,Total,Male,Palestine,3.2
2018,Total,Male,Palestine,2.7
2010,Total,Female,West Bank,
2013,Total,Female,West Bank,
2018,Total,Female,West Bank,
2010,Total,Female,Gaza Strip,
2013,Total,Female,Gaza Strip,
2018,Total,Female,Gaza Strip,
2010,Total,Female,Palestine,1.9
2013,Total,Female,Palestine,2.1
2018,Total,Female,Palestine,1.4
2010,Total,Both sexes or no breakdown by sex,West Bank,2.3
2013,Total,Both sexes or no breakdown by sex,West Bank,2.8
2018,Total,Both sexes or no breakdown by sex,West Bank,1.9
2010,Total,Both sexes or no breakdown by sex,Gaza Strip,1.1
2013,Total,Both sexes or no breakdown by sex,Gaza Strip,2.4
2018,Total,Both sexes or no breakdown by sex,Gaza Strip,2.4
2010,Total,Both sexes or no breakdown by sex,Palestine,1.4
2013,Total,Both sexes or no breakdown by sex,Palestine,2.6
2018,Total,Both sexes or no breakdown by sex,Palestine,2.1
2010,Urban,Male,West Bank,
2013,Urban,Male,West Bank,
2018,Urban,Male,West Bank,
2010,Urban,Male,Gaza Strip,
2013,Urban,Male,Gaza Strip,
2018,Urban,Male,Gaza Strip,
2010,Urban,Male,Palestine,
2013,Urban,Male,Palestine,
2018,Urban,Male,Palestine,
2010,Urban,Female,West Bank,
2013,Urban,Female,West Bank,
2018,Urban,Female,West Bank,
2010,Urban,Female,Gaza Strip,
2013,Urban,Female,Gaza Strip,
2018,Urban,Female,Gaza Strip,
2010,Urban,Female,Palestine,
2013,Urban,Female,Palestine,
2018,Urban,Female,Palestine,
2010,Urban,Both sexes or no breakdown by sex,West Bank,
2013,Urban,Both sexes or no breakdown by sex,West Bank,
2018,Urban,Both sexes or no breakdown by sex,West Bank,
2010,Urban,Both sexes or no breakdown by sex,Gaza Strip,
2013,Urban,Both sexes or no breakdown by sex,Gaza Strip,
2018,Urban,Both sexes or no breakdown by sex,Gaza Strip,
2010,Urban,Both sexes or no breakdown by sex,Palestine,
2013,Urban,Both sexes or no breakdown by sex,Palestine,
2018,Urban,Both sexes or no breakdown by sex,Palestine,2.2
2010,Rural,Male,West Bank,
2013,Rural,Male,West Bank,
2018,Rural,Male,West Bank,
2010,Rural,Male,Gaza Strip,
2013,Rural,Male,Gaza Strip,
2018,Rural,Male,Gaza Strip,
2010,Rural,Male,Palestine,
2013,Rural,Male,Palestine,
2018,Rural,Male,Palestine,
2010,Rural,Female,West Bank,
2013,Rural,Female,West Bank,
2018,Rural,Female,West Bank,
2010,Rural,Female,Gaza Strip,
2013,Rural,Female,Gaza Strip,
2018,Rural,Female,Gaza Strip,
2010,Rural,Female,Palestine,
2013,Rural,Female,Palestine,
2018,Rural,Female,Palestine,
2010,Rural,Both sexes or no breakdown by sex,West Bank,
2013,Rural,Both sexes or no breakdown by sex,West Bank,
2018,Rural,Both sexes or no breakdown by sex,West Bank,
2010,Rural,Both sexes or no breakdown by sex,Gaza Strip,
2013,Rural,Both sexes or no breakdown by sex,Gaza Strip,
2018,Rural,Both sexes or no breakdown by sex,Gaza Strip,
2010,Rural,Both sexes or no breakdown by sex,Palestine,
2013,Rural,Both sexes or no breakdown by sex,Palestine,
2018,Rural,Both sexes or no breakdown by sex,Palestine,1.5
2010,Camp,Male,West Bank,
2013,Camp,Male,West Bank,
2018,Camp,Male,West Bank,
2010,Camp,Male,Gaza Strip,
2013,Camp,Male,Gaza Strip,
2018,Camp,Male,Gaza Strip,
2010,Camp,Male,Palestine,
2013,Camp,Male,Palestine,
2018,Camp,Male,Palestine,
2010,Camp,Female,West Bank,
2013,Camp,Female,West Bank,
2018,Camp,Female,West Bank,
2010,Camp,Female,Gaza Strip,
2013,Camp,Female,Gaza Strip,
2018,Camp,Female,Gaza Strip,
2010,Camp,Female,Palestine,
2013,Camp,Female,Palestine,
2018,Camp,Female,Palestine,
2010,Camp,Both sexes or no breakdown by sex,West Bank,
2013,Camp,Both sexes or no breakdown by sex,West Bank,
2018,Camp,Both sexes or no breakdown by sex,West Bank,
2010,Camp,Both sexes or no breakdown by sex,Gaza Strip,
2013,Camp,Both sexes or no breakdown by sex,Gaza Strip,
2018,Camp,Both sexes or no breakdown by sex,Gaza Strip,
2010,Camp,Both sexes or no breakdown by sex,Palestine,
2013,Camp,Both sexes or no breakdown by sex,Palestine,
2018,Camp,Both sexes or no breakdown by sex,Palestine,2.2
