Year,SEX,AREA,Series,Value
2000,Male,Palestine,"Foreign direct investments (FDI), official development assistance and South-South Cooperation as a proportion of total domestic budget by SEX, AREA and TIME PERIOD",290.5
2001,Male,Palestine,"Foreign direct investments (FDI), official development assistance and South-South Cooperation as a proportion of total domestic budget by SEX, AREA and TIME PERIOD",
2002,Male,Palestine,"Foreign direct investments (FDI), official development assistance and South-South Cooperation as a proportion of total domestic budget by SEX, AREA and TIME PERIOD",
2003,Male,Palestine,"Foreign direct investments (FDI), official development assistance and South-South Cooperation as a proportion of total domestic budget by SEX, AREA and TIME PERIOD",
2004,Male,Palestine,"Foreign direct investments (FDI), official development assistance and South-South Cooperation as a proportion of total domestic budget by SEX, AREA and TIME PERIOD",
2005,Male,Palestine,"Foreign direct investments (FDI), official development assistance and South-South Cooperation as a proportion of total domestic budget by SEX, AREA and TIME PERIOD",
2006,Male,Palestine,"Foreign direct investments (FDI), official development assistance and South-South Cooperation as a proportion of total domestic budget by SEX, AREA and TIME PERIOD",
2007,Male,Palestine,"Foreign direct investments (FDI), official development assistance and South-South Cooperation as a proportion of total domestic budget by SEX, AREA and TIME PERIOD",
2008,Male,Palestine,"Foreign direct investments (FDI), official development assistance and South-South Cooperation as a proportion of total domestic budget by SEX, AREA and TIME PERIOD",
2009,Male,Palestine,"Foreign direct investments (FDI), official development assistance and South-South Cooperation as a proportion of total domestic budget by SEX, AREA and TIME PERIOD",
2010,Male,Palestine,"Foreign direct investments (FDI), official development assistance and South-South Cooperation as a proportion of total domestic budget by SEX, AREA and TIME PERIOD",
2011,Male,Palestine,"Foreign direct investments (FDI), official development assistance and South-South Cooperation as a proportion of total domestic budget by SEX, AREA and TIME PERIOD",
2012,Male,Palestine,"Foreign direct investments (FDI), official development assistance and South-South Cooperation as a proportion of total domestic budget by SEX, AREA and TIME PERIOD",
2013,Male,Palestine,"Foreign direct investments (FDI), official development assistance and South-South Cooperation as a proportion of total domestic budget by SEX, AREA and TIME PERIOD",
