Year,Series,Value
2011,Installed renewable energy-generating capacity in developing countries (in watts/capita) by TIME PERIOD,0.1
2012,Installed renewable energy-generating capacity in developing countries (in watts/capita) by TIME PERIOD,0.1
2013,Installed renewable energy-generating capacity in developing countries (in watts/capita) by TIME PERIOD,0.1
2014,Installed renewable energy-generating capacity in developing countries (in watts/capita) by TIME PERIOD,0.7
2015,Installed renewable energy-generating capacity in developing countries (in watts/capita) by TIME PERIOD,2.6
2016,Installed renewable energy-generating capacity in developing countries (in watts/capita) by TIME PERIOD,5.4
2017,Installed renewable energy-generating capacity in developing countries (in watts/capita) by TIME PERIOD,7.4
2018,Installed renewable energy-generating capacity in developing countries (in watts/capita) by TIME PERIOD,8.2
2019,Installed renewable energy-generating capacity in developing countries (in watts/capita) by TIME PERIOD,16.1
2020,Installed renewable energy-generating capacity in developing countries (in watts/capita) by TIME PERIOD,19.6
