Year,AREA,Series,Value
2000,West Bank,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,-8.9
2001,West Bank,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,-14.3
2002,West Bank,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,-16.94
2003,West Bank,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,6.92
2004,West Bank,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,22.04
2005,West Bank,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,3.64
2006,West Bank,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,5.96
2007,West Bank,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,7.38
2008,West Bank,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,10.58
2009,West Bank,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,6.68
2010,West Bank,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,2.31
2011,West Bank,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,7.2
2012,West Bank,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,3.26
2013,West Bank,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,1.6
2014,West Bank,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,2.26
2015,West Bank,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,2.34
2016,West Bank,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,6.73
2017,West Bank,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,1.89
2018,West Bank,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,0.1
2019,West Bank,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,-0.7
2020,West Bank,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,-13.4
2000,Gaza Strip,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,-16.86
2001,Gaza Strip,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,-5.98
2002,Gaza Strip,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,-10.55
2003,Gaza Strip,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,18.71
2004,Gaza Strip,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,9.77
2005,Gaza Strip,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,16.08
2006,Gaza Strip,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,-20.48
2007,Gaza Strip,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,-14.02
2008,Gaza Strip,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,-11.27
2009,Gaza Strip,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,3.56
2010,Gaza Strip,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,6.59
2011,Gaza Strip,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,6.51
2012,Gaza Strip,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,5.12
2013,Gaza Strip,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,4.85
2014,Gaza Strip,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,-16.24
2015,Gaza Strip,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,-1.36
2016,Gaza Strip,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,6.26
2017,Gaza Strip,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,-10.06
2018,Gaza Strip,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,-6.32
2019,Gaza Strip,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,-2.5
2020,Gaza Strip,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,-14.8
2000,Palestine,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,-11.44
2001,Palestine,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,-11.91
2002,Palestine,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,-14.96
2003,Palestine,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,10.78
2004,Palestine,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,18.44
2005,Palestine,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,7.94
2006,Palestine,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,-3.98
2007,Palestine,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,0.65
2008,Palestine,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,4.55
2009,Palestine,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,5.77
2010,Palestine,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,3.09
2011,Palestine,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,6.89
2012,Palestine,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,3.53
2013,Palestine,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,2.23
2014,Palestine,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,-2.46
2015,Palestine,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,1.39
2016,Palestine,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,6.46
2017,Palestine,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,-0.77
2018,Palestine,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,-1.31
2019,Palestine,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,-1.2
2020,Palestine,Annual growth rate of real GDP per capita (%) by AREA and TIME PERIOD,-13.7
