Year,SEX,AREA,OCCUPATION,Value
2000,Male,West Bank,'',
2001,Male,West Bank,'',
2002,Male,West Bank,'',
2003,Male,West Bank,'',
2004,Male,West Bank,'',
2005,Male,West Bank,'',
2006,Male,West Bank,'',
2007,Male,West Bank,'',
2008,Male,West Bank,'',
2009,Male,West Bank,'',
2010,Male,West Bank,'',
2011,Male,West Bank,'',
2012,Male,West Bank,'',
2013,Male,West Bank,'',
2014,Male,West Bank,'',
2015,Male,West Bank,'',
2016,Male,West Bank,'',
2017,Male,West Bank,'',
2018,Male,West Bank,'',
2019,Male,West Bank,'',
2020,Male,West Bank,'',
2021,Male,West Bank,'',
2000,Male,West Bank,Technicians and associate professionals,
2001,Male,West Bank,Technicians and associate professionals,
2002,Male,West Bank,Technicians and associate professionals,
2003,Male,West Bank,Technicians and associate professionals,
2004,Male,West Bank,Technicians and associate professionals,
2005,Male,West Bank,Technicians and associate professionals,
2006,Male,West Bank,Technicians and associate professionals,
2007,Male,West Bank,Technicians and associate professionals,
2008,Male,West Bank,Technicians and associate professionals,
2009,Male,West Bank,Technicians and associate professionals,
2010,Male,West Bank,Technicians and associate professionals,
2011,Male,West Bank,Technicians and associate professionals,
2012,Male,West Bank,Technicians and associate professionals,
2013,Male,West Bank,Technicians and associate professionals,
2014,Male,West Bank,Technicians and associate professionals,
2015,Male,West Bank,Technicians and associate professionals,
2016,Male,West Bank,Technicians and associate professionals,
2017,Male,West Bank,Technicians and associate professionals,
2018,Male,West Bank,Technicians and associate professionals,
2019,Male,West Bank,Technicians and associate professionals,
2020,Male,West Bank,Technicians and associate professionals,
2021,Male,West Bank,Technicians and associate professionals,
2000,Male,West Bank,Service and sales workers,
2001,Male,West Bank,Service and sales workers,
2002,Male,West Bank,Service and sales workers,
2003,Male,West Bank,Service and sales workers,
2004,Male,West Bank,Service and sales workers,
2005,Male,West Bank,Service and sales workers,
2006,Male,West Bank,Service and sales workers,
2007,Male,West Bank,Service and sales workers,
2008,Male,West Bank,Service and sales workers,
2009,Male,West Bank,Service and sales workers,
2010,Male,West Bank,Service and sales workers,
2011,Male,West Bank,Service and sales workers,
2012,Male,West Bank,Service and sales workers,
2013,Male,West Bank,Service and sales workers,
2014,Male,West Bank,Service and sales workers,
2015,Male,West Bank,Service and sales workers,
2016,Male,West Bank,Service and sales workers,
2017,Male,West Bank,Service and sales workers,
2018,Male,West Bank,Service and sales workers,
2019,Male,West Bank,Service and sales workers,
2020,Male,West Bank,Service and sales workers,
2021,Male,West Bank,Service and sales workers,
2000,Male,West Bank,"Skilled agricultural, forestry and fishery workers",
