Year,Series,Value
2014,Prevalence of moderate or severe food insecurity in the adult population (%) by TIME PERIOD,26.3
2015,Prevalence of moderate or severe food insecurity in the adult population (%) by TIME PERIOD,26.3
2016,Prevalence of moderate or severe food insecurity in the adult population (%) by TIME PERIOD,26.3
2017,Prevalence of moderate or severe food insecurity in the adult population (%) by TIME PERIOD,26.3
2018,Prevalence of moderate or severe food insecurity in the adult population (%) by TIME PERIOD,26.3
2019,Prevalence of moderate or severe food insecurity in the adult population (%) by TIME PERIOD,26.3
2014,Prevalence of severe  food insecurity in the adult population (%) by TIME PERIOD,4.4
2015,Prevalence of severe  food insecurity in the adult population (%) by TIME PERIOD,4.4
2016,Prevalence of severe  food insecurity in the adult population (%) by TIME PERIOD,4.4
2017,Prevalence of severe  food insecurity in the adult population (%) by TIME PERIOD,4.4
2018,Prevalence of severe  food insecurity in the adult population (%) by TIME PERIOD,4.4
2019,Prevalence of severe  food insecurity in the adult population (%) by TIME PERIOD,4.4
