Year,SEX,AREA,Series,Value
2009,Male,West Bank,"Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%) by SEX, AREA and TIME PERIOD",
2010,Male,West Bank,"Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%) by SEX, AREA and TIME PERIOD",
2011,Male,West Bank,"Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%) by SEX, AREA and TIME PERIOD",
2012,Male,West Bank,"Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%) by SEX, AREA and TIME PERIOD",
2013,Male,West Bank,"Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%) by SEX, AREA and TIME PERIOD",
2014,Male,West Bank,"Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%) by SEX, AREA and TIME PERIOD",
2015,Male,West Bank,"Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%) by SEX, AREA and TIME PERIOD",
2016,Male,West Bank,"Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%) by SEX, AREA and TIME PERIOD",
2017,Male,West Bank,"Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%) by SEX, AREA and TIME PERIOD",
2009,Male,Gaza Strip,"Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%) by SEX, AREA and TIME PERIOD",
2010,Male,Gaza Strip,"Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%) by SEX, AREA and TIME PERIOD",
2011,Male,Gaza Strip,"Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%) by SEX, AREA and TIME PERIOD",
2012,Male,Gaza Strip,"Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%) by SEX, AREA and TIME PERIOD",
2013,Male,Gaza Strip,"Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%) by SEX, AREA and TIME PERIOD",
2014,Male,Gaza Strip,"Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%) by SEX, AREA and TIME PERIOD",
