Year,SEX,AREA,AGE,Value
2000,Male,West Bank,,
2001,Male,West Bank,,
2002,Male,West Bank,,
2003,Male,West Bank,,
2004,Male,West Bank,,
2005,Male,West Bank,,
2006,Male,West Bank,,
2007,Male,West Bank,,
2008,Male,West Bank,,
2009,Male,West Bank,,
2010,Male,West Bank,,
2011,Male,West Bank,,
2012,Male,West Bank,,
2013,Male,West Bank,,
2014,Male,West Bank,,
2015,Male,West Bank,,
2016,Male,West Bank,,
2017,Male,West Bank,,
2018,Male,West Bank,,
2000,Male,West Bank,10 to 14 years old,
2001,Male,West Bank,10 to 14 years old,
2002,Male,West Bank,10 to 14 years old,
2003,Male,West Bank,10 to 14 years old,
2004,Male,West Bank,10 to 14 years old,
2005,Male,West Bank,10 to 14 years old,
2006,Male,West Bank,10 to 14 years old,
2007,Male,West Bank,10 to 14 years old,
2008,Male,West Bank,10 to 14 years old,
2009,Male,West Bank,10 to 14 years old,
2010,Male,West Bank,10 to 14 years old,
2011,Male,West Bank,10 to 14 years old,
2012,Male,West Bank,10 to 14 years old,
2013,Male,West Bank,10 to 14 years old,
2014,Male,West Bank,10 to 14 years old,
2015,Male,West Bank,10 to 14 years old,
2016,Male,West Bank,10 to 14 years old,
2017,Male,West Bank,10 to 14 years old,
2018,Male,West Bank,10 to 14 years old,
2000,Male,West Bank,10 to 17 years old,
2001,Male,West Bank,10 to 17 years old,
2002,Male,West Bank,10 to 17 years old,
2003,Male,West Bank,10 to 17 years old,
2004,Male,West Bank,10 to 17 years old,
2005,Male,West Bank,10 to 17 years old,
2006,Male,West Bank,10 to 17 years old,
2007,Male,West Bank,10 to 17 years old,
2008,Male,West Bank,10 to 17 years old,
2009,Male,West Bank,10 to 17 years old,
2010,Male,West Bank,10 to 17 years old,
2011,Male,West Bank,10 to 17 years old,
2012,Male,West Bank,10 to 17 years old,
2013,Male,West Bank,10 to 17 years old,
2014,Male,West Bank,10 to 17 years old,
2015,Male,West Bank,10 to 17 years old,
2016,Male,West Bank,10 to 17 years old,
2017,Male,West Bank,10 to 17 years old,
2018,Male,West Bank,10 to 17 years old,
2000,Male,West Bank,15 to 17 years old,
2001,Male,West Bank,15 to 17 years old,
2002,Male,West Bank,15 to 17 years old,
2003,Male,West Bank,15 to 17 years old,
2004,Male,West Bank,15 to 17 years old,
2005,Male,West Bank,15 to 17 years old,
2006,Male,West Bank,15 to 17 years old,
2007,Male,West Bank,15 to 17 years old,
2008,Male,West Bank,15 to 17 years old,
2009,Male,West Bank,15 to 17 years old,
2010,Male,West Bank,15 to 17 years old,
2011,Male,West Bank,15 to 17 years old,
2012,Male,West Bank,15 to 17 years old,
