Year,AREA,Value
2000,West Bank,28.7
2001,West Bank,30.8
2002,West Bank,35.4
2003,West Bank,25.4
2004,West Bank,26.8
2005,West Bank,29.9
2006,West Bank,23.4
2007,West Bank,21.2
2008,West Bank,19.7
2009,West Bank,23.6
2010,West Bank,22.8
2012,West Bank,17.1
2013,West Bank,16.7
2014,West Bank,17.4
2015,West Bank,20.1
2016,West Bank,19.6
2017,West Bank,14.6
2018,West Bank,15.9
2019,West Bank,21.8
2000,Gaza Strip,24.2
2001,Gaza Strip,33.1
2002,Gaza Strip,43.1
2003,Gaza Strip,28.5
2004,Gaza Strip,32.4
2005,Gaza Strip,35.9
2006,Gaza Strip,23.0
2007,Gaza Strip,50.3
2008,Gaza Strip,46.7
2009,Gaza Strip,57.1
2010,Gaza Strip,27.0
2012,Gaza Strip,28.9
2013,Gaza Strip,37.0
2014,Gaza Strip,22.5
2015,Gaza Strip,24.4
2016,Gaza Strip,24.0
2017,Gaza Strip,25.5
2018,Gaza Strip,29.6
2019,Gaza Strip,34.1
2000,Palestine,27.6
2001,Palestine,31.5
2002,Palestine,37.2
2003,Palestine,26.2
2004,Palestine,28.0
2005,Palestine,31.1
2006,Palestine,23.3
2007,Palestine,23.0
2008,Palestine,21.0
2009,Palestine,25.5
2010,Palestine,23.4
2012,Palestine,18.9
2013,Palestine,19.4
2014,Palestine,18.2
2015,Palestine,21.0
2016,Palestine,20.3
2017,Palestine,16.1
2018,Palestine,17.6
2019,Palestine,22.6
