Year,URBANISATION,SEX,AREA,Series,Value
2018,,Male,West Bank,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,,Male,Gaza Strip,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,,Male,Palestine,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",89.1
2018,,Female,West Bank,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,,Female,Gaza Strip,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,,Female,Palestine,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",89.7
2018,,,West Bank,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",91.2
2018,,,Gaza Strip,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",84.1
2018,,,Palestine,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",89.4
2018,Urban,Male,West Bank,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Male,Gaza Strip,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Male,Palestine,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Female,West Bank,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Female,Gaza Strip,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,Female,Palestine,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,,West Bank,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,,Gaza Strip,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Urban,,Palestine,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",88.9
2018,Rural,Male,West Bank,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Male,Gaza Strip,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Male,Palestine,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Female,West Bank,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Female,Gaza Strip,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,Female,Palestine,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,,West Bank,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,,Gaza Strip,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Rural,,Palestine,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",91.7
2018,Camp,Male,West Bank,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Male,Gaza Strip,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Male,Palestine,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Female,West Bank,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Female,Gaza Strip,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,Female,Palestine,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,,West Bank,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",
2018,Camp,,Gaza Strip,"Proportion of population satisfied with their last experience of public services (healthcare services) by URBANISATION, SEX, AREA and TIME PERIOD",
