Year,SEX,AREA,Series,Value
2000,Male,West Bank,"Prevalence of malnutrition (weight for height > + 2 or < - 2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting) by SEX, AREA and TIME PERIOD",
2001,Male,West Bank,"Prevalence of malnutrition (weight for height > + 2 or < - 2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting) by SEX, AREA and TIME PERIOD",
2002,Male,West Bank,"Prevalence of malnutrition (weight for height > + 2 or < - 2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting) by SEX, AREA and TIME PERIOD",
2006,Male,West Bank,"Prevalence of malnutrition (weight for height > + 2 or < - 2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting) by SEX, AREA and TIME PERIOD",
2007,Male,West Bank,"Prevalence of malnutrition (weight for height > + 2 or < - 2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting) by SEX, AREA and TIME PERIOD",
2008,Male,West Bank,"Prevalence of malnutrition (weight for height > + 2 or < - 2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting) by SEX, AREA and TIME PERIOD",
2014,Male,West Bank,"Prevalence of malnutrition (weight for height > + 2 or < - 2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting) by SEX, AREA and TIME PERIOD",
2015,Male,West Bank,"Prevalence of malnutrition (weight for height > + 2 or < - 2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting) by SEX, AREA and TIME PERIOD",
2016,Male,West Bank,"Prevalence of malnutrition (weight for height > + 2 or < - 2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting) by SEX, AREA and TIME PERIOD",
2019,Male,West Bank,"Prevalence of malnutrition (weight for height > + 2 or < - 2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting) by SEX, AREA and TIME PERIOD",
2000,Male,Gaza Strip,"Prevalence of malnutrition (weight for height > + 2 or < - 2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting) by SEX, AREA and TIME PERIOD",
2001,Male,Gaza Strip,"Prevalence of malnutrition (weight for height > + 2 or < - 2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting) by SEX, AREA and TIME PERIOD",
2002,Male,Gaza Strip,"Prevalence of malnutrition (weight for height > + 2 or < - 2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting) by SEX, AREA and TIME PERIOD",
2006,Male,Gaza Strip,"Prevalence of malnutrition (weight for height > + 2 or < - 2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting) by SEX, AREA and TIME PERIOD",
2007,Male,Gaza Strip,"Prevalence of malnutrition (weight for height > + 2 or < - 2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting) by SEX, AREA and TIME PERIOD",
2008,Male,Gaza Strip,"Prevalence of malnutrition (weight for height > + 2 or < - 2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting) by SEX, AREA and TIME PERIOD",
2014,Male,Gaza Strip,"Prevalence of malnutrition (weight for height > + 2 or < - 2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting) by SEX, AREA and TIME PERIOD",
2015,Male,Gaza Strip,"Prevalence of malnutrition (weight for height > + 2 or < - 2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting) by SEX, AREA and TIME PERIOD",
