Year,SEX,AREA,Value
2014,Female,West Bank,67.7
2019,Female,West Bank,61.6
2014,Female,Gaza Strip,65.7
2019,Female,Gaza Strip,60.1
2014,Female,Palestine,66.9
2019,Female,Palestine,61.0
2014,Both sexes or no breakdown by sex,West Bank,66.9
2019,Both sexes or no breakdown by sex,West Bank,61.6
2014,Both sexes or no breakdown by sex,Gaza Strip,67.7
2019,Both sexes or no breakdown by sex,Gaza Strip,60.1
2014,Both sexes or no breakdown by sex,Palestine,65.7
2019,Both sexes or no breakdown by sex,Palestine,61.0
