Year,URBANISATION,SEX,AREA,Value
2010,'',Male,West Bank,
2013,'',Male,West Bank,
2018,'',Male,West Bank,
2010,'',Male,Gaza Strip,
2013,'',Male,Gaza Strip,
2018,'',Male,Gaza Strip,
2010,'',Male,Palestine,1.6
2013,'',Male,Palestine,3.2
2018,'',Male,Palestine,2.7
2010,'',Female,West Bank,
2013,'',Female,West Bank,
2018,'',Female,West Bank,
2010,'',Female,Gaza Strip,
2013,'',Female,Gaza Strip,
2018,'',Female,Gaza Strip,
2010,'',Female,Palestine,1.9
2013,'',Female,Palestine,2.1
2018,'',Female,Palestine,1.4
2010,'','',West Bank,2.3
2013,'','',West Bank,2.8
2018,'','',West Bank,1.9
2010,'','',Gaza Strip,1.1
2013,'','',Gaza Strip,2.4
2018,'','',Gaza Strip,2.4
2010,'','',Palestine,1.4
2013,'','',Palestine,2.6
2018,'','',Palestine,2.1
2010,Urban,Male,West Bank,
2013,Urban,Male,West Bank,
2018,Urban,Male,West Bank,
2010,Urban,Male,Gaza Strip,
2013,Urban,Male,Gaza Strip,
2018,Urban,Male,Gaza Strip,
2010,Urban,Male,Palestine,
2013,Urban,Male,Palestine,
2018,Urban,Male,Palestine,
2010,Urban,Female,West Bank,
2013,Urban,Female,West Bank,
2018,Urban,Female,West Bank,
2010,Urban,Female,Gaza Strip,
2013,Urban,Female,Gaza Strip,
2018,Urban,Female,Gaza Strip,
2010,Urban,Female,Palestine,
2013,Urban,Female,Palestine,
2018,Urban,Female,Palestine,
2010,Urban,'',West Bank,
2013,Urban,'',West Bank,
2018,Urban,'',West Bank,
2010,Urban,'',Gaza Strip,
2013,Urban,'',Gaza Strip,
2018,Urban,'',Gaza Strip,
2010,Urban,'',Palestine,
2013,Urban,'',Palestine,
2018,Urban,'',Palestine,2.2
2010,Rural,Male,West Bank,
2013,Rural,Male,West Bank,
2018,Rural,Male,West Bank,
2010,Rural,Male,Gaza Strip,
2013,Rural,Male,Gaza Strip,
2018,Rural,Male,Gaza Strip,
2010,Rural,Male,Palestine,
2013,Rural,Male,Palestine,
2018,Rural,Male,Palestine,
2010,Rural,Female,West Bank,
2013,Rural,Female,West Bank,
2018,Rural,Female,West Bank,
2010,Rural,Female,Gaza Strip,
2013,Rural,Female,Gaza Strip,
2018,Rural,Female,Gaza Strip,
2010,Rural,Female,Palestine,
2013,Rural,Female,Palestine,
2018,Rural,Female,Palestine,
2010,Rural,'',West Bank,
2013,Rural,'',West Bank,
2018,Rural,'',West Bank,
2010,Rural,'',Gaza Strip,
2013,Rural,'',Gaza Strip,
2018,Rural,'',Gaza Strip,
2010,Rural,'',Palestine,
2013,Rural,'',Palestine,
2018,Rural,'',Palestine,1.5
2010,Camp,Male,West Bank,
2013,Camp,Male,West Bank,
2018,Camp,Male,West Bank,
2010,Camp,Male,Gaza Strip,
2013,Camp,Male,Gaza Strip,
2018,Camp,Male,Gaza Strip,
2010,Camp,Male,Palestine,
2013,Camp,Male,Palestine,
2018,Camp,Male,Palestine,
2010,Camp,Female,West Bank,
2013,Camp,Female,West Bank,
2018,Camp,Female,West Bank,
2010,Camp,Female,Gaza Strip,
2013,Camp,Female,Gaza Strip,
2018,Camp,Female,Gaza Strip,
2010,Camp,Female,Palestine,
2013,Camp,Female,Palestine,
2018,Camp,Female,Palestine,
2010,Camp,'',West Bank,
2013,Camp,'',West Bank,
2018,Camp,'',West Bank,
2010,Camp,'',Gaza Strip,
2013,Camp,'',Gaza Strip,
2018,Camp,'',Gaza Strip,
2010,Camp,'',Palestine,
2013,Camp,'',Palestine,
2018,Camp,'',Palestine,2.2
